"","x"
"ACP5",0.256811799458152
"AGRN",0.518500614291109
"ANKRD1",-1.53879835187633
"APTX",-0.222498481347776
"ATXN7L3B",-0.549780666677727
"BACH1",-0.349754711964424
"BARX1",1.39514507585528
"BCAT1",-0.523528834768423
"C14orf80",1.26339179741878
"C16orf52",-0.528954090091274
"C1QTNF1",1.6827629807679
"C2orf44",-0.199117797295522
"CASC3",-0.499176913002426
"CBFB",-0.218832334478169
"CC2D1B",0.146939284844522
"CDON",-0.44819807824651
"CHRNA10",0.946787197720953
"CKAP2L",-1.42669853934767
"CLK2",0.508485106169505
"CNOT4",-0.443083333292818
"CNRIP1",1.00027357177847
"COL23A1",1.86603707784511
"CPSF2",-0.808693074001059
"DCAF4L1",0.572370862175671
"DCLRE1B",-0.332476462853205
"DDX23",-0.150452273725192
"DENND4B",0.554137947190052
"DOCK1",-0.358411688963388
"DTX2",0.585686067546446
"DTX4",0.742249589153645
"DYNLT3",-0.805000459479883
"EDEM1",-0.374557955937582
"EGLN2",0.94223600769653
"EIF5B",-0.709710998269491
"ELP2",-0.889574143697674
"ELP3",0.30052983834369
"EMD",0.0960900001506763
"EML4",-0.162158435792602
"EPB41L5",-0.815777203974145
"ERRFI1",-0.407988301903443
"FAM114A2",-0.376061173667142
"FNDC3B",-0.56309222307924
"GADD45B",1.02724027428947
"GAR1",0.132600878005028
"GPT2",-0.16328574850951
"GRWD1",0.218867691545515
"HCN4",-0.424408578701262
"HIVEP3",-0.541665177963205
"HNMT",0.257834985935861
"HSDL1",-0.506594155684702
"HSPB1",0.516877449215269
"IBTK",-0.855564944687718
"IFRD2",0.381327513337071
"IKBKG",0.80944433933888
"IL3RA",1.22692032000557
"IMMT",-0.37366508729777
"IPO9",-0.37297819060655
"IRF6",-0.73826081250524
"KHDRBS3",0.414484914643788
"KHNYN",0.0679027867875149
"KLHL23",-1.1437845926243
"KLHL28",-0.65023528929747
"KLHL9",-0.722576084856263
"KPNA3",-0.199882978098838
"KRT14",2.51406529472293
"KRT222",-0.652253387766002
"LEO1",-0.866540025035994
"LMAN1",-0.509363005126497
"LSG1",-0.552261506719399
"MARCH9",0.153404483349566
"MCCC2",-1.05052580487589
"MDFIC",0.630830941749947
"MEGF8",0.653425477480229
"MFAP3",-0.587256913994622
"MRPL3",-0.552449260110501
"MRPL46",0.0808926027166359
"MTHFD2L",0.0671809475581571
"MTMR2",-0.302331222902731
"MYOCD",0.356859598480231
"NAA50",-0.713160242794436
"NIP7",-0.197980587859888
"NOP56",0.0382476413488918
"NPTN",-0.563939956387229
"NUP35",-0.293381482466837
"NXT2",-0.405926069542114
"PAK1IP1",-0.101496815334089
"PDE7A",0.243684121461027
"PFKP",0.839976822703846
"PHF23",0.207164958586206
"PIK3AP1",-0.081373197784611
"PLAGL2",-0.362952768472782
"POLR1C",0.0603578396369829
"PPP1R11",-0.101974171981577
"PPP2R1A",0.146995267017231
"PROM1",0.320198233014553
"PSKH1",0.311509437648165
"PSMA1",-0.183839359295587
"PSMB4",0.337271443188881
"PSMC3",0.318576124244667
"PSMC4",-0.113854528946042
"PSMD3",-0.108792918572147
"RANBP1",0.189350621823427
"RASA3",0.752979612257682
"RBM28",-0.246511883714656
"RMI1",-1.22409527569659
"RRAGA",0.0722643586609494
"RYBP",-0.415386247815314
"SCN1B",0.915101467167795
"SCO1",-0.291650183712889
"SEC61A1",-0.0925118041455508
"SEC61G",0.22425031065082
"SEPHS2",-0.584682939194985
"SERINC1",-0.407946652800357
"SFT2D2",-0.188197530420481
"SIGLEC1",-0.00385366636606327
"SLC30A1",-0.236680842270689
"SLC44A4",-0.105767222101473
"SMG7",-0.612092068072579
"SNRPD3",-0.0585815677480836
"SNRPG",-0.00377169391785185
"SPATA9",0.304892866027098
"SPATS2L",0.23073198813226
"SRC",0.0542621235203998
"STAM2",-0.606970115439107
"SYT1",0.00892324926853622
"TAF9",-0.160368191487643
"TIFAB",1.44433257629508
"TINF2",0.0815019254983546
"TLR1",0.0233487205477318
"TMEM165",-0.39457332488301
"TMEM208",0.340672638412688
"TMEM41B",-0.362042507247182
"TMEM69",-0.343134852428233
"TMPRSS2",0.980879904171955
"TMUB1",1.15591754052487
"TNFRSF14",1.26140588600637
"TOM1",0.810714911872979
"TRIM45",-0.185304897697224
"TSG101",-0.245464290664393
"TXNDC9",-0.412799140291182
"TXNL4B",0.179912686967284
"UGP2",0.114874089736918
"UNC50",-0.112918931096385
"USP36",-0.144557688841077
"UTP18",-0.359912429030104
"VDAC1",-0.475318512896879
"VPS33A",-0.225812193710371
"WDR5B",-0.330299022366876
"WFDC1",0.299429583750569
"WIZ",0.177779499189496
"XPO5",-0.572194582094519
"YARS2",-0.323158727046429
"ZHX2",0.0718311300825923
"ZKSCAN5",-0.259681750776829
"ZMYND15",1.12686299264966
"ZNF227",-0.309469461471838
"ZNF233",-0.730334260771762
"ZNF234",-0.514521360806639
"ZNF235",-0.315348433802818
"ZNF302",-0.492089613772524
"ZNF613",-0.124052051805333
"ZNF624",-0.350428800333528
"ZNF672",0.271644463708174
"ZNF701",-0.579122480983116
"ZW10",-0.600680127346587
