"","x"
"AARS",-0.179660124766026
"ABHD3",-0.467887755065299
"ACAA2",0.234424163794886
"ACBD3",-0.49333881553821
"ADA",1.10216822999922
"ADRM1",0.618811982379592
"AKR1B1",0.698704992876244
"AKT3",0.234225332897006
"ALDOB",0.000191590069644249
"ALG5",0.0493053260583574
"ALG8",-0.372619439218148
"AP2S1",0.231398600340754
"AP3B1",-0.533885014768617
"ARL2",0.952418650088064
"ARPC1B",1.063723914481
"ASNS",0.144719638013021
"ATF6",-0.660139604552599
"ATP5B",-0.302480799922616
"ATP5G3",-0.00115521559914726
"BAIAP3",0.225383741980014
"BAK1",0.279151084127987
"BCKDHA",0.362492502526109
"BET1",0.163701627554319
"BSCL2",0.075159687371351
"BSG",0.0933836387940896
"C11orf71",-0.336382710772594
"C11orf73",0.219688473712692
"C11orf80",-0.00990805216441523
"CAPRIN1",-0.497531648363471
"CASP7",-0.226884315380571
"CEBPD",1.72287865403552
"CIAO1",-0.0836119075082372
"COX7B",-0.203821034134004
"CPE",0.0832651540551014
"CTSA",0.311448201712337
"CXCR3",2.02663388930323
"DAP",-0.0487425520809687
"DNAJC3",-0.442584996112875
"DOK2",2.11020258964812
"DSTN",-0.279751269470958
"DYRK4",0.395554705125819
"EIF3J",-0.635509472590965
"ELAC2",0.0611106635162984
"EXOSC9",-0.0622717481828834
"FAM114A2",-0.376061173667142
"FAM136A",0.047334257541796
"FAS",0.722576930701617
"FDX1",-0.0104894641510841
"FDXR",0.221915300293123
"FIS1",0.869886101600287
"FKBP11",0.685214415862796
"FLAD1",0.151004688193032
"FLNA",0.328738760690863
"FLOT1",0.526345064265875
"G0S2",3.86531663515782
"G6PC3",-0.184330800400844
"GLRX2",-0.222076313439247
"GLRX",0.164360367444036
"GNG7",1.11372276634917
"GOLPH3L",-0.619577113652098
"GPKOW",0.291972502509521
"GTF2E2",0.315994812773738
"HMGB2",-0.0715499295026633
"HN1",-0.195019524235899
"HNRNPC",-0.201567842424663
"HSPB11",-0.145844790093558
"HTATIP2",0.135516551009424
"ICAM2",1.66739627060571
"ICMT",-0.264879713244627
"ICT1",-0.122611819462779
"IDH2",-0.0722126683955385
"INTS7",-0.810221545343801
"ISOC1",-0.10986612904808
"ITCH",-0.741469425054509
"ITFG1",-0.799154316272384
"ITGB7",1.51854798669736
"ITM2C",1.40650941807379
"KLF8",-0.0568044541016604
"KPNA2",-1.0240778560702
"LCP2",0.29885577654611
"LILRB4",0.203063975776367
"LRRC41",-0.213168315392254
"LRRC42",-0.363871479809923
"LTC4S",1.80039957287161
"MAGED2",-0.711834420349744
"MAGEH1",0.336658874258695
"MLX",-0.0901224627097598
"MOGS",0.40906322044459
"MRPS15",0.123734909574569
"MSL1",-0.199522478453906
"MT1E",0.548647425394486
"MYL12A",0.115558552292783
"NCOR1",-0.516329761512026
"NDUFA4",0.0930461562089221
"NDUFA5",-0.0700432492189219
"NDUFB2",0.57551135857068
"NDUFB3",-0.237631000302047
"NDUFS8",0.395804311964953
"NFE2L3",-0.033003496504442
"NIF3L1",-0.403738664093042
"NKG7",2.03354925889627
"NOD2",0.182741230538106
"NOP10",0.0990781571579822
"NUDT21",-0.653538851857327
"OAS2",-0.826988038234432
"OGT",-0.0245643547181855
"OLA1",-0.273037832875604
"ORMDL2",-0.200758763926698
"PABPC4",0.197641493541449
"PEF1",0.0324778350478642
"PITPNM3",0.523205413761868
"PLD3",0.711678496699347
"PPA1",-0.130406568591122
"PPIE",0.455854025262352
"PPOX",0.775351260432915
"PPP1R2",-0.283650761095105
"PPP1R7",0.145568158320049
"PRDX3",-0.514862511664108
"PREB",0.0987646785381992
"PRKCD",0.00787068658456719
"PSMA3",-0.235853424586149
"PSMA4",-0.157631923604749
"PSMB2",-0.188142697760913
