"","x"
"ADI1",1.10866840492392
"ANKRD26",-0.673043864935714
"APIP",-0.229925324772738
"ARAF",0.325050559112083
"ARPP19",-0.875167946552148
"ATL2",-0.356330413009947
"ATXN7L1",0.0697127051267629
"B3GALT5",-0.266636268819315
"B3GALT6",0.526425005398675
"BATF",1.05649136362063
"BBS1",-0.236361480732845
"BCCIP",-0.010222574635924
"BCDIN3D",-0.265610110428591
"BCL7A",-0.38088597214567
"BMP6",1.47472635609088
"BRMS1L",-0.218149874068868
"C1orf53",0.609448009485797
"CAPN2",0.108736295054307
"CDK2AP1",0.110160258463082
"CLIP2",0.682548708404814
"COMT",0.737906247383415
"CRADD",-0.0146424491125041
"CXCL3",1.92100949013203
"CXCL6",1.08842880505096
"DDX42",-0.288947529041426
"DENR",-0.454627006626522
"DKC1",-0.478679155685684
"DSC2",0.0314089861368484
"DSE",0.02766320786279
"EIF2S1",-0.505018037133535
"EIF3D",0.494943054152793
"EPB41L3",0.0803065952281345
"FAIM",-0.150920908680592
"FAM65B",1.24894907151663
"FARSB",-0.275737821236543
"FCHO2",-0.301907664034152
"FFAR3",1.73498478184835
"FLNA",0.328738760690863
"FLVCR2",0.084817089598743
"FOLR2",2.12418295792192
"FPGS",0.558974270445686
"GADD45B",1.02724027428947
"GALNT4",-0.996185287428003
"GALNT6",-0.275058084597007
"GAR1",0.132600878005028
"GHRLOS",0.382241613018562
"GK5",-0.237439476268723
"GMEB2",0.539782272755939
"GNAI3",-0.386160145272815
"GNG2",0.892356053064748
"GNL3",-0.347058511993765
"GTF2E1",-0.58974086562336
"GZMK",2.05398142067272
"HADHB",-0.154276131928963
"HAS1",1.80884989124774
"HCFC1R1",0.456040818925566
"HCG4",-0.346643899674906
"HEY1",0.299957466723791
"HNRNPC",-0.201567842424663
"HNRNPF",-0.17858159634006
"HSD17B3",0.220819413142079
"IARS",-1.09443619091476
"IFRD2",0.381327513337071
"ILF2",-0.280197674907654
"IMP4",0.231108721294977
"IMPA2",0.452721233019987
"IMPDH2",0.248650939549843
"ITM2A",1.59577163712963
"JPH3",0.035895425397552
"KCNV2",0.258304450453575
"LARS",-0.523806309401634
"LAS1L",-0.0564741543629731
"LDHA",-0.571188833795584
"LEP",5.17085660941858
"LITAF",-0.11629383110862
"LRPPRC",-0.577862255257159
"LXN",-0.0648626264688759
"LYAR",0.308340606513943
"LYRM4",0.758108172822546
"MAF",0.911884959297714
"MAOA",-0.0566299047573113
"MCCC2",-1.05052580487589
"MED12L",-1.80443824907556
"MRPL32",-0.130241671733778
"MRTO4",0.0184644856165838
"MTHFD1L",0.260656366788917
"MYO1D",-0.253796652016878
"NCL",-0.311058330847983
"NEDD9",0.348567435254611
"NEK6",-0.272085557443152
"NOC2L",0.142626266664634
"NOL6",-0.192853485338861
"NOL9",-0.454402962867605
"NPM1",-0.354615638779253
"OAZ3",0.547882876766029
"OLA1",-0.273037832875604
"PA2G4",-0.200799509511963
"PAM",-0.139761704677886
"PCDHB14",0.304779545100218
"PCID2",0.267651861653416
"PDPN",0.17944152197534
"PERP",0.0510376022196991
"PGRMC1",0.00599343722250641
"PHF21A",0.116983929457388
"PLK1",-0.595390858162485
"PPFIBP1",-0.496231215310655
"PPP2CB",0.127013286844406
"PREP",-0.240116957583818
"PRG2",0.954258834585307
"PRKCH",0.415353062057488
"PSEN2",0.270166207322297
"PTPRJ",-0.115422420748864
"PUS1",0.820794154466959
"QSOX2",0.446775091137628
"RAD23B",-0.511270825537829
"RASAL2",-0.503498161522296
"RBM17",0.0356016860433545
"RHBDF1",0.0505523140453145
"RNF144B",-0.262035150519845
"RNF145",0.344459949091421
"RNF175",0.778432917932838
"RPIA",0.334292370653534
"RPS8",0.689441818254109
"RSL24D1",-0.0345967932224652
"SAMSN1",-0.0262769737594928
"SCN9A",0.374625127838804
"SDC2",-0.32323478471523
"SEC63",-0.529534786542509
"SEPT9",0.185754154345373
"SERBP1",-0.197784420920665
"SERPINB2",0.025582725168221
"SERPINE1",0.813941590934036
"SGPL1",-0.270342190954684
"SIN3A",-0.402830057421309
"SLC1A2",-1.25840522913983
"SLC44A1",-0.479984613880594
"SLC5A6",0.0998947030370645
"SMS",-0.398644085691747
"SNRNP40",-0.382524694381521
"SNX17",0.501122030418898
"SRGN",0.659918424722114
"SSRP1",-0.337456142407628
"SVIL",0.364798340503567
"TAF9B",-0.626851243112493
"TARP",0.445694493249983
"TATDN1",-0.582712149882131
"TDG",-0.556116458863212
"TDO2",-0.68682220267279
"TEAD1",-0.683156986495224
"THAP10",-0.4481804298736
"TNFSF9",0.598229371228807
"TNIP1",0.459544285088633
"TRAP1",-0.379593290873924
"TRIM47",0.64701586454267
"TUBB",-0.129594816892998
"UBQLN4",-0.0718280672542129
"UBXN10",-0.292562353684375
"VSTM2L",1.34109896105325
"ZCCHC24",1.11088704333042
"ZFR",-0.661671355403706
"ZNF146",-0.566042823186438
"ZNF174",-0.348156108146822
"ZNF528",0.077266179826172
"ZNRF1",0.216732856394722
