"","x"
"2180",0.532698264648975
"55803",-0.0196276884870349
"157",0.133727288259704
"199",0.772048480501313
"217",1.34889965892236
"221",0.837432233540247
"290",-0.506847065170795
"8905",0.219636096610412
"334",-0.637869062798237
"200315",-0.069994590088351
"427",-0.169854572342313
"533",-0.172722727656371
"526",-0.174402568164077
"10409",0.266246964750033
"10295",0.0967066471850541
"599",0.12434598688338
"637",0.472800064175489
"645",0.195384840723603
"695",0.269216673754283
"56905",0.585328704738039
"728",0.377876639705627
"8536",1.11329638307394
"1230",-0.107799972918913
"929",0.96602094901812
"948",2.64178727517062
"972",0.832095567165741
"942",0.0103019717978559
"22918",0.401630143621289
"1050",1.39668917378132
"1051",1.03394776712018
"1052",1.72287865403552
"1675",3.24181782140412
"5199",2.33672839980352
"51363",-0.583663657812609
"10970",0.159782059058919
"50856",0.106081483651325
"64581",0.0817257198359613
"25932",-0.515344738557018
"79789",-0.361890809913992
"81570",-0.270294667493792
"27235",-0.423307628011254
"23603",-0.191185991405577
"8804",-0.0674293437683543
"83716",0.334843467592859
"1436",0.261748919784418
"1439",0.979354227739989
"1441",1.20765991557311
"1471",0.977768104276964
"1475",1.50236752053016
"1488",-0.195583321428329
"1495",-0.287707454204844
"5476",0.311448201712337
"1508",0.201359398330219
"1509",0.735577404437207
"1536",-0.0874942256010522
"23191",-0.345577784357158
"1545",0.548337842043456
"1612",0.248921835568684
"57706",0.150449519497435
"23312",-0.566945841651994
"29940",0.02766320786279
"1845",-0.183324297254656
"1848",0.701758836599358
"1978",0.212999119010368
"23136",0.0803065952281345
"23071",0.0136794575207646
"81553",0.704802092528955
"2207",-0.000225024902883407
"2210",-0.204693715496312
"2212",-0.217092570916289
"2215",0.194246574586928
"2217",1.0563071893374
"2219",2.67599733753714
"10875",0.521790279714474
"2357",0.256656801859477
"2512",1.04743336968083
"2548",0.347144426870947
"9846",0.130187567163539
"8522",0.737486568531526
"25801",0.191937337748881
"2717",0.106690806190088
"2760",-0.0364459400190261
"51280",-0.0143280839669827
"2876",0.840061322161404
"2896",0.397966610255286
"3055",0.536022847438512
"3074",-0.0851931988520708
"3101",1.46144750747368
"3108",0.915829153959725
"3142",1.88962645574711
"3162",0.326726304327358
"3176",0.257834985935861
"3281",-0.410351042432271
"3310",0.73737956494573
"10437",0.568121008869089
"3459",0.185587437603877
"10261",-0.274306331146714
"3597",-0.355715283100588
"3557",0.656579328408982
"3394",1.45746184100369
"3687",0.447761068456633
"3728",-0.174401112793379
"3759",0.141359098588339
"115207",0.587548039547198
"9314",1.2770881639699
"8942",0.43599624572765
"7462",0.451929296891745
"3958",0.85965685237554
"11027",0.0355375826041703
"10859",0.139393923302694
"10288",0.602293267683674
"11025",0.766908177130092
"4005",0.928282573737177
"7940",1.2844724669309
"4067",0.23846193814426
"9935",0.717078097946368
"55016",-0.683089919153228
"4082",0.37183932450873
"8685",2.79297553840162
"4208",0.43480879790393
"4354",0.212155236974107
"26509",-0.737697427991289
"4668",-0.068826582958992
"55577",0.657738888824131
"4671",0.24311626323507
"654817",1.59699841682055
"4688",0.332210105525959
"28511",0.0263883255759143
"114548",0.764805538163673
"80896",0.200351377809615
"79627",-0.702578004531747
"5023",1.64829839410093
"8682",0.134279082779969
"5175",1.34160694661956
"29992",0.547178258565838
"23761",0.150732063254839
"5329",0.203149832451851
"5336",0.963693325126307
"10226",-0.016996663249897
"23654",0.501251420805834
"5580",0.00787068658456719
"5660",0.29243117204979
"754",-0.214288905942231
"25797",0.196434428828475
"11031",-1.25030550465211
"10981",0.469123554206314
"83937",1.00274907894038
"54502",-0.559378862047656
"79651",0.460995299711537
"23433",0.442831614985581
"54453",-0.283643057631267
"6039",0.405191825767029
"55819",0.565837819089735
"6051",-0.322424804214515
"6256",0.763876083933455
"6283",0.536655594554751
"6280",1.08154916673812
"6386",0.120057652717607
"6398",-0.150651639370866
"5265",-0.596079127808521
"27036",0.207437984689224
"140885",0.501869026419968
"6556",0.0588758686605658
"51296",0.742147255588122
"11000",0.771232302518842
"11182",1.17976318892633
"1318",0.12207304713638
"206358",-0.116419162674127
"29015",0.30115835499323
"9056",0.228499462976532
"29887",-0.621995702844133
"51324",-0.216730032158984
"23166",1.15820399367654
"6850",0.0638302893547869
"11138",0.0501369786482009
"6916",0.777236500599308
"22797",-0.286871291384906
"7045",-0.250719518788814
"7077",0.277408618866523
"7097",-0.0766511120488128
"84187",-0.0418551706903458
"7127",0.328592872786971
"8741",0.100488657928959
"64759",-0.0280751914514385
"9540",0.645983626377912
"7165",0.0933197854111607
"1200",-0.239887868517885
"7263",0.438831368810628
"7305",0.990770960690915
"1462",-0.742900138938094
"55048",0.086997982885363
"7453",0.159084159619936
"55625",0.1234134173001
