"","x"
"ABCA6",1.5023848778714
"ACOX2",1.59331913391727
"ACSBG2",-0.0522151467510603
"ADCK4",0.538892813585073
"ADCYAP1R1",-0.00407214376661552
"ALX3",0.799670163096677
"ANKRD53",1.9330619933166
"ARL17A",-0.194005972743727
"ASIP",1.62090062779544
"ATG16L1",0.00167768834525166
"ATP8B3",-0.0875820643939115
"B3GALT5",-0.266636268819315
"B4GALNT1",0.431330500172514
"BTBD18",-0.416343291966636
"C16orf45",-0.44632886882629
"C1QTNF1",1.6827629807679
"C4BPA",1.36966939620061
"C8orf59",-0.0530425527655208
"CAMK1",1.11329638307394
"CAMK1D",-0.0422913733140774
"CAND2",0.319369314101999
"CCDC68",-0.15677621734225
"CD3D",2.14572708561031
"CDH11",-0.614620713079647
"CDH22",0.890707307228435
"CDO1",2.1175050147953
"CHI3L1",1.62186613086704
"CHST10",0.335978058774431
"CHST7",1.50190495662474
"CLDN10",1.10820337902961
"CLDN14",-0.43811236073946
"CORO7",0.529023222669232
"CPLX2",-1.18369343486711
"CXCL11",-0.0493477471286195
"CXCR6",0.850768060269684
"CYP4F11",0.347165536149711
"DGKB",0.0936920829811816
"DMP1",-1.08918531581914
"DNASE1L2",0.851949146006681
"DUOX2",1.34143128759147
"EMP3",1.09202774195728
"ETV5",0.0610363244261176
"FARP2",0.0827793505192926
"FBXO17",0.928841384309153
"FCN3",1.17468081173914
"FGR",1.15391918196657
"FJX1",-0.106803333387643
"FMNL1",1.00897433753629
"FOLR3",0.765574592720699
"FOSL1",1.27743272412854
"FST",0.755736139693472
"GALNT14",0.578528908530759
"GNG11",1.43032775549626
"GPM6A",-0.443172967773746
"HAAO",1.83335274445585
"HEYL",0.260114259175942
"HIST1H4D",-0.794841804066768
"HLA-DMA",0.915829153959725
"HLA-DPA1",0.591365370371561
"HLA-DPB1",1.17396718292962
"HLA-DQB1",1.04732492174815
"HLA-DRA",0.549792845897841
"HLA-DRB1",1.12891023310863
"HMGCS1",-0.641666607681212
"HMGN5",-0.615389861641857
"HPCAL4",0.973273147772253
"HS3ST1",0.695015445514141
"IL18RAP",1.62264386479379
"IL19",0.254996741461694
"IL1RL1",-1.15157310937987
"INPP4B",-0.703023908544158
"ITIH3",1.22622086668137
"KCNIP1",1.10213038674727
"KCNJ10",0.692196287481758
"KCNJ4",0.02419893068535
"KCNMB3",-0.313498250056585
"KIAA0087",-0.253454971127505
"KIAA1024",-0.2059533507742
"KLHL28",-0.65023528929747
"KLRD1",0.717100474578328
"KRT14",2.51406529472293
"KRT23",0.452692882910208
"KRT81",1.00805747084028
"LCP1",0.311696029381901
"LILRA6",0.325161881002953
"LIN7A",-1.2233613441977
"LUM",-0.0416010451346719
"MAMLD1",-0.236605089952204
"MATN3",-0.228787080026468
"MC4R",0.133044153875432
"MLANA",-0.316007352812797
"MRPL41",0.969712060587971
"MSX2",-0.32043836546457
"MTUS2",-0.302142464467843
"NDST3",-1.1100731991658
"NEB",0.662647234787563
"NOL10",-0.303408820582544
"NR3C2",0.891085606291833
"NRN1",1.45189986734208
"OLFM1",0.333307264173969
"P2RY14",0.688788054115595
"PDC",0.125980875108147
"PNMA3",2.53525347733751
"PON3",2.46902397607141
"PRKX",0.412801993976933
"PROX1",-0.363608377988595
"PRSS3",0.834616380177916
"PRTN3",2.06190185407488
"PSMB9",0.967066829046942
"PTEN",-0.29715429506279
"PTENP1",-0.520000542965271
"PTPRCAP",3.08159465011575
"PYCARD",1.27079811067965
"RARRES1",0.869498824170199
"RFPL1S",0.529172033506117
"RFTN1",0.759954893753802
"RLN2",-0.404596059073354
"SELL",0.922332966885255
"SEMA4D",0.437837721662085
"SERPINB2",0.025582725168221
"SERPINE2",0.861429951771822
"SETD1A",0.174710176405302
"SGCE",1.01941525934061
"SH3BGRL",-0.713954638871713
"SLC14A1",0.310169296914364
"SLC22A18AS",0.33943937525416
"SLC5A4",1.04356840229129
"SV2B",1.46261901189728
"SV2C",0.328929224348567
"TAS2R10",0.0206957898386812
"TBX1",1.51181519685398
"TBX3",-0.886335623440837
"TGFA",-0.423826569897977
"TLE6",0.334756314317104
"TMPRSS6",-0.0875470694378716
"TNR",-0.354928961379211
"TPPP3",0.733171689946652
"TSPAN7",1.99216424881984
"TWIST1",1.37497696628398
"UGT8",1.29290963615244
"ULBP1",0.0113539419501271
"VIM",1.18465325395017
"WISP3",0.282762643290475
"WNT16",1.39821586661438
"XK",0.296013522421715
"ZNF132",-0.516093279405478
"ZNF556",-0.958250526882418
"ZNF667",0.431085842131884
