"","x"
"ACOX3",-0.17308910338688
"ADCY10",0.500824790025306
"ADRA1B",0.505611038076699
"AEBP1",0.365609097591574
"ALOX15",0.595848041350339
"AMOT",-0.290600426198761
"ANK1",0.0462947364707125
"ANPEP",-0.506847065170795
"ARHGEF15",1.33738078358277
"ASPH",-0.134264346443075
"ASTN2",-0.951653368005084
"ATF6",-0.660139604552599
"ATP2C2",-0.633395032229978
"AVPR2",3.43313861124
"BAP1",0.37415231265985
"BASP1",0.266246964750033
"C1orf95",1.07210951802932
"C2orf72",-0.0139932128444446
"CACNA1C",0.172571731305241
"CASK",-0.563691570587494
"CBX5",-0.901114276908333
"CCDC88C",-0.457425366393156
"CCDC9",0.907160686029849
"CCNG2",0.0580207427511096
"CDC42EP2",0.705583430775482
"CDH4",0.428898577627226
"CDK10",1.17414560779249
"CDON",-0.44819807824651
"CEBPA",1.39668917378132
"CES1",2.21877479613023
"CHD5",0.792431196475822
"CHRD",1.05318863123559
"CLCC1",-0.237951871139855
"CLDN14",-0.43811236073946
"CLK1",0.222331943851749
"COL5A2",-0.364333400502517
"COL6A1",0.971443636517927
"COPG2",-0.083393795610535
"CTBP2",-0.195583321428329
"CTSD",0.735577404437207
"CTSF",0.687000449816885
"CYP4A11",0.583329612828245
"DAGLA",-0.0226529562755999
"DKFZP586I1420",0.247199198768978
"DLX5",0.734547148675472
"DNAH3",-1.17674924078945
"EFNA5",0.853928490312225
"ESRRB",0.965050367029717
"ETV2",0.92350972934502
"FAM50A",0.610828938744975
"FGFR2",-0.287428652126316
"FKBP1A",0.184125685449825
"FOXJ1",0.407597392766056
"FPGS",0.558974270445686
"FRAT2",-0.110938635809677
"FSCN1",1.17675117345889
"FZD9",1.48772117888137
"GABRB2",-0.627922379689856
"GAPDHS",1.00876369711594
"GAS8",0.143596868669944
"GMDS",-0.387198794593292
"GNAT1",-0.157262034622945
"GNG12",-0.3375547594694
"GPR182",0.625283582996266
"GPR31",0.0603864915782387
"GREB1",-1.53206535890696
"GRIN2C",0.176647652239916
"GRPR",-1.48810537562769
"HBP1",-0.128822828039152
"HERC3",-0.496265526264141
"HIVEP1",-0.440485310045723
"HLA-DRB6",1.51966247520405
"HMBS",-0.130677583369494
"HOXD10",1.10164477769037
"HPGD",0.230568752826059
"HSPB6",2.8121002534569
"ICOS",1.15701748596213
"IRF7",1.15165690277636
"ISG20L2",-0.369060396078559
"ITGA5",0.352417608945598
"ITGAE",0.503523990421679
"ITPKA",0.370872205075994
"KCNC4",0.880624101989142
"KIAA0040",-0.607418975088531
"KLHL35",1.23153903780726
"KLK6",0.333813795535426
"KRT13",-1.76583357733829
"KRT14",2.51406529472293
"KRT19",0.625588074871501
"KSR1",0.856669559953759
"L1CAM",1.03774955985192
"LDOC1",0.00820408104274384
"LHX2",0.277887478715501
"LST1",1.2844724669309
"MAN1A2",-1.35695528317801
"MATN1",0.416644598209009
"MPO",0.992538929139169
"MPPED1",0.815457952470564
"MXRA7",0.0349473809492874
"NAT9",0.483671713880293
"NCOA1",-0.471427056051287
"NDST2",0.173295395361291
"NINJ1",-0.085857276187238
"NKX2-8",0.444284120328371
"NR2F6",0.411629337626588
"NRL",0.908435258124467
"NUCB1",0.523521824245629
"NUDCD3",0.0560693093972305
"OLFML2A",0.324516346770806
"P2RX7",-0.787603202375107
"PAQR4",-0.190456401194433
"PARM1",0.0612665253758202
"PART1",0.737473638823308
"PDE1B",1.27700287538255
"PDE2A",2.03541431392459
"PDE4A",0.249192750634677
"PDE5A",-0.833111917799863
"PHKA1",-1.14007836094517
"PIGO",-0.416588773392407
"PIP5K1B",0.434942015580311
"PLA2G5",1.23057361836209
"PLEKHA6",-0.170877990641438
"PPIP5K1",-0.442557486113559
"PPP3CA",-0.355614332171406
"PRG2",0.954258834585307
"PRKCG",0.328455041011925
"PTGDR",1.31884530234279
"PTGIR",1.5051461776331
"PTH2R",0.527891016904154
"PTK6",-0.331773993213665
"PTPRD",-1.07369801343634
"RAD9A",0.431176877584191
"SCN2B",2.05216519632744
"SEPT11",-0.282251101741925
"SFPQ",-0.203945962967534
"SHC3",0.386554384335395
"SLC22A18AS",0.33943937525416
"SLC25A42",0.573891440037671
"SLIT1",0.398866555424724
"SNCG",1.80429854079127
"SOCS1",1.42814376943321
"SSH1",-0.284863288110834
"SST",0.0256806301609074
"SYNPO",0.772281263348065
"TAGLN3",0.30383174512966
"TCTA",-0.0338349644167857
"TGM4",-0.547012598592826
"TICAM1",0.125211343637682
"TIMP2",0.277408618866523
"TLE3",-0.333961064620004
"TNFAIP2",0.328592872786971
"TRIM38",0.122637619858913
"VGF",0.65239542277094
"VPS11",-0.196956437711162
"VSIG4",0.775061707856484
"VTN",0.3814261254738
