"","x"
"AASS",0.446395112667891
"ACADM",-0.161998730654285
"ACE",0.231957083721124
"ADAM9",-0.650933328413384
"AIMP1",-0.372128724281213
"AMD1",-0.0963313187057769
"AMPH",-0.166937596881468
"ANGPT2",-0.56415272633757
"AQP8",0.0798358352123501
"ARHGAP29",-0.614952907051231
"ARMC6",0.293101555199149
"ASPH",-0.134264346443075
"ATIC",-0.368559352839727
"ATP13A3",-0.876375257672758
"ATP8B3",-0.0875820643939115
"B4GALT5",0.168937103923769
"BAK1",0.279151084127987
"BAZ1A",-0.716688064862503
"BCL10",-0.313174698063372
"BCLAF1",-0.571824605485808
"BIRC5",-0.509093304664121
"BUB1",-1.04515861418573
"BUB1B",-1.23692672732584
"C5orf30",-0.812038861471217
"CACNA2D1",-1.37697154203867
"CBL",-0.385188925010819
"CCDC86",0.163319865670952
"CCL23",2.37685999314172
"CCNB1",-0.569697677934878
"CCNB2",-0.966379808779578
"CCNE1",-0.0541464745358956
"CCNH",-0.0830950198696538
"CD8B",1.7562309389138
"CDC27",-0.692991299611231
"CDC42EP2",0.705583430775482
"CDC45",-0.0230845139259791
"CDKN3",-0.376886061003802
"CEBPZ",-0.479574288355776
"CENPA",-0.602375229499506
"CENPE",-1.34200259933892
"CEP170",-0.468939059260385
"CHM",-0.616772428864113
"CKS2",-0.67194431776539
"CNTFR",2.25687319163958
"CPA3",-0.975762056489647
"CRYZ",-0.619182557733027
"CSE1L",-0.823605741777075
"CTNNAL1",0.166571393197832
"CYB561D2",0.194428355971083
"DBF4",-0.451419247914001
"DDX21",-1.05130398923884
"DHFR",-0.861761115804527
"DHX29",-0.550436067893231
"DKK1",1.30190611088071
"DLEU1",-0.0309713195521407
"DLGAP5",-0.994203994499494
"DNAJC13",-0.569439489392786
"EIF2S3",-0.415843164934992
"EPM2AIP1",-0.715321471028897
"EXO1",-0.748641320779292
"FABP4",3.77204830331309
"FKBP5",0.128225465064678
"FLT1",-0.238459420153751
"GABBR2",-0.333062362728485
"GATA6",1.00453932602265
"GPR37",0.282514464518517
"GPR4",0.581894563426707
"HIRA",0.387671695496841
"HIST1H2BN",-0.543065407492668
"HMMR",-1.22240941500618
"IL1RL1",-1.15157310937987
"IL6",2.54375391258926
"INHBB",0.902356896863799
"IPO5",-0.306199738003995
"ITGA2",-1.12177364735475
"ITGB3",-1.17331268971236
"KIF11",-0.95471872038097
"KIF22",-0.0689031548724145
"KIF23",-1.06907128420701
"KLF9",0.307574638238768
"LMNB1",-0.524843914867464
"LRP8",-1.17550420000645
"LRRC17",0.283910709825771
"LRRFIP1",-0.630974627992409
"MAD2L1",-0.661839057688646
"MAFK",1.24586926583415
"MAP1B",0.627578836196293
"MAP3K7",-0.491554634724145
"MAPK6",-0.934194173647056
"MBD4",-0.0431757991319907
"MCM4",-0.957017648632184
"MDN1",-0.736605380033165
"MEST",0.603123213667807
"MFAP3",-0.587256913994622
"MKLN1",-0.572713414238724
"MMP14",0.111213919243901
"MMRN1",1.81112500370088
"MPHOSPH6",-0.272688752167056
"MRPL19",-0.59022495046278
"MT1X",0.97142719115231
"MYO5A",-0.54891331229668
"NBN",-0.819452317049099
"NCOA3",-0.673836764816759
"NDC80",-0.970285465757771
"NEK7",-0.425045243080689
"NOC2L",0.142626266664634
"NR2F1",1.10880259906615
"NRP1",0.15875855503197
"NUDT21",-0.653538851857327
"NUP155",-1.10560502439503
"NUP50",-0.235224940306468
"OSTF1",-0.22105483781442
"PAPOLA",-0.546047480470529
"PCDH7",-0.114220313862576
"PGAP1",0.0190574684209403
"PHKA1",-1.14007836094517
"PLCL1",-0.0971283525638068
"PLK4",-0.81394617113926
"PNN",-0.0778378407147138
"PNO1",-0.339971442464733
"POP1",-0.563593046850569
"POP5",0.351382307347623
"PPIG",-0.667495714688463
"PRKACB",-1.09694243704026
"PRMT3",-0.57650131900974
"PRPF40A",-0.633230582753305
"PSD3",-0.158429097873322
"PTPRD",-1.07369801343634
"PTPRE",0.115277742807102
"RAB3B",-3.5239480878555
"RAP1A",0.0245336788440788
"RASA2",-1.26863942907356
"RDH11",-0.499637698236019
"RECQL",-0.407877071483456
"RFC4",-0.24428728666498
"RGS2",1.1880927506385
"RGS4",-1.06621935389165
"RGS5",-0.0414780902940558
"RIF1",-1.32367125367207
"RND3",0.355646835104214
"RNF6",-0.553233644180497
"ROM1",0.824779079442637
"RP2",-0.73473867644329
"RPGR",-0.291904951340797
"RRM2",-0.51748669933298
"RRP12",-0.134252015971252
"RRS1",0.245813110466052
"SACS",-0.032975918529734
"SAT1",0.0657312603914974
"SEL1L",-0.661620356236925
"SERPINB2",0.025582725168221
