"","x"
"ADCY1",-0.807817188345852
"AHI1",-0.534972921030491
"ANK1",0.0462947364707125
"BIRC5",-0.509093304664121
"CDC25C",-0.875964112165525
"CDC7",-0.615378493903489
"CENPF",-1.05189484733031
"CXCR6",0.850768060269684
"DHFR",-0.861761115804527
"EVI5",-0.525352793406341
"GATA3",-0.483687429882536
"GSTA4",-0.401831281201486
"HELLS",-1.04036310371023
"LAIR2",0.450458026312602
"LIMA1",-0.266541277289767
"MB",-0.114927979590997
"MICAL2",-0.844093479609921
"NEIL3",-1.40249356704367
"PHEX",-0.672573703551587
"PMCH",0.610934022882934
"PTGIS",1.37207490304097
"SLC39A14",-0.191959614783027
"SMAD2",-0.456822987580943
"SNRPD1",-0.289387483867292
"WDHD1",-1.0395452093421
